algorithm,width,depth,memory_mb,memory_bytes,processing_time_sec,throughput_records_per_sec,record_count,avg_relative_error,max_relative_error,error_bound,timestamp
Count-Min Sketch,500,3,0.0888357162475586,6000,18.38775658607483,29471.186300692676,541909,66.0205862898678,1954.0,107.92024172864313,2026-05-30 11:23:35
Count-Min Sketch,500,5,0.11743831634521484,10000,25.094686031341553,21594.571827804204,541909,49.054071668043356,1120.0,14.605416481309625,2026-05-30 11:24:00
Count-Min Sketch,500,7,0.1457662582397461,14000,31.83061122894287,17024.775179537053,541909,40.800023011547204,1120.0,1.9766281762867293,2026-05-30 11:24:32
Count-Min Sketch,1000,3,0.10753536224365234,12000,18.553335189819336,29208.17170906062,541909,23.42016801413125,1198.0,53.96012086432157,2026-05-30 11:24:51
Count-Min Sketch,1000,5,0.14813899993896484,20000,25.366957187652588,21362.79081449214,541909,13.827345637495222,746.0,7.3027082406548125,2026-05-30 11:25:16
Count-Min Sketch,1000,7,0.18834590911865234,28000,31.85710334777832,17010.61750919649,541909,9.640190189085295,746.0,0.9883140881433646,2026-05-30 11:25:48
Count-Min Sketch,5000,3,0.1094045639038086,60000,18.596120357513428,29140.970782169166,541909,0.8439049486884127,478.0,10.792024172864313,2026-05-30 11:26:07
Count-Min Sketch,5000,5,0.1514120101928711,100000,25.27044987678528,21444.37485847156,541909,0.13522900362097248,101.0,1.4605416481309625,2026-05-30 11:26:32
Count-Min Sketch,5000,7,0.1937246322631836,140000,31.738717317581177,17074.06744190692,541909,0.050210946457463115,101.0,0.19766281762867294,2026-05-30 11:27:04
