algorithm,size,hash_count,memory_mb,memory_bytes,processing_time_sec,throughput_records_per_sec,record_count,false_positive_rate,theoretical_fpr,timestamp
Bloom Filter,10000,3,0.35318660736083984,1250,18.968488931655884,28568.907199330253,541909,0.354,0.3504994280560903,2026-05-30 11:19:40
Bloom Filter,10000,5,0.35072994232177734,1250,26.21345353126526,20672.934199748055,541909,0.507,0.4964747335554509,2026-05-30 11:20:06
Bloom Filter,10000,7,0.35071468353271484,1250,33.01449465751648,16414.27517281784,541909,0.697,0.6586761620767967,2026-05-30 11:20:39
Bloom Filter,50000,3,0.35069942474365234,6250,19.259210109710693,28137.654499483542,541909,0.016,0.01017163161409436,2026-05-30 11:20:59
Bloom Filter,50000,5,0.3506765365600586,6250,26.475133895874023,20468.602807876752,541909,0.001,0.004178730558645224,2026-05-30 11:21:25
Bloom Filter,50000,7,0.3506612777709961,6250,32.97989368438721,16431.49626818056,541909,0.001,0.0029171508249653914,2026-05-30 11:21:58
Bloom Filter,100000,3,0.3506460189819336,12500,19.2977774143219,28081.42038149019,541909,0.002,0.0015185013661423105,2026-05-30 11:22:18
Bloom Filter,100000,5,0.35062313079833984,12500,25.884920358657837,20935.316488959004,541909,0.001,0.0002116510153197975,2026-05-30 11:22:44
Bloom Filter,100000,7,0.35060787200927734,12500,33.19054675102234,16327.209191975968,541909,0.0,5.7552599642121446e-05,2026-05-30 11:23:17
